Project name, date added(YYYY-MM-DD), link to YML file
aaaaa,2020-03-13,https://gist.githubusercontent.com/c3po-okh/44421dc65f8a296cee9edea836b38c0c/raw/0770678f69e0a86adf55402504039df844637d5a/okh-manifest-aaaaa.yml
aaaaa,2020-03-13,https://gist.githubusercontent.com/c3po-okh/754840b2e3cb4fb1acfdbf597fd34fc2/raw/0770678f69e0a86adf55402504039df844637d5a/okh-manifest-aaaaa.yml
aaaaa,2020-03-13,https://gist.githubusercontent.com/c3po-okh/f928e97047b88d7b43af15e7cc95bae6/raw/0770678f69e0a86adf55402504039df844637d5a/okh-manifest-aaaaa.yml
aaatest,2020-03-13,https://gist.githubusercontent.com/c3po-okh/79c9a32df05226078ab859c7aba9446b/raw/b30624b4fe99a87fd1c59491e1b45d217db97ae0/okh-manifest-aaatest.yml
aaatest,2020-03-13,https://gist.githubusercontent.com/c3po-okh/13e6035af87fe9bf61f6f0f68034954f/raw/b30624b4fe99a87fd1c59491e1b45d217db97ae0/okh-manifest-aaatest.yml
aaatest,2020-03-13,https://gist.githubusercontent.com/c3po-okh/a35a2b4ed8525c76d93afc2613c600af/raw/b30624b4fe99a87fd1c59491e1b45d217db97ae0/okh-manifest-aaatest.yml
Actifield, 2019-11-16, https://raw.githubusercontent.com/trendinafrica/actifield/master/okh-actifield.yml
Adjustabike, 2019-10-07, https://raw.githubusercontent.com/JamieTaylor23/Adjustabike/master/okh-adjustabike.yml
Arduino voltage amplifier, 2020-02-29, https://raw.githubusercontent.com/Sussex-Neuroscience/voltage-amplifier/master/okh-arduino-voltage-amplifier.yml
Ball-Sorting-Machine, 2019-10-07, https://raw.githubusercontent.com/jbon/Ball-Machine/master/okh-ballSortingMachine.yml
CubeFactory, 2019-10-04,https://raw.githubusercontent.com/CubeFactory2/cubefactory/master/okh-cubefactory.yml
Fermento, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/Fermento/master/okh-Fermento.yml
Flypi, 2019-10-06, https://raw.githubusercontent.com/amchagas/Flypi/master/okh-flypi.yml
hyperspectral scanner, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Hyperspectral-scanner/master/okh-hyperspectral-scanner.yml
Incubator, 2019-11-16, https://raw.githubusercontent.com/FOSH-following-demand/Incubator/master/okh-incubator.yml
Led Zappelin, 2019-10-15, https://raw.githubusercontent.com/BadenLab/LED-Zappelin/master/okh-LED-Zappelin.yml
lightM, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/lightM/master/okh-lightm.yml
Mech-Jiwe, 2020-02-26, https://gitlab.com/bath_open_instrumentation_group/mech-jiwe/-/raw/master/okh-MechJiwe.yml
Microscope incubation box, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/microscope-incubation-box/master/okh-microscope-incubation-box.yml
NYC-MTA-Next-Train, 2019-11-16, https://raw.githubusercontent.com/mwweinberg/NYC-MTA-Next-Train/master/okh-nycmtapi.yml
open visual stimulator, 2019-10-06, https://raw.githubusercontent.com/eulerlab/open-visual-stimulator/master/okh-open-visual-stimulator.yml
OpenFlexure Block Stage, 2020-02-13, https://gitlab.com/openflexure/openflexure-block-stage/-/raw/master/okh-openflexure-block-stage.yml
OpenFlexure Delta Stage, 2020-02-26, https://gitlab.com/openflexure/openflexure-delta-stage/-/raw/master/okh-OpenFlexureDeltaStage.yml
OpenFlexure Microscope, 2020-02-13, https://gitlab.com/openflexure/openflexure-microscope/-/raw/master/okh.yml
OpenSpritzer, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Openspritzer/master/okh-openspritzer.yml
OSP: An Open-source Plate Reader, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/OSP/master/okh-OSP.yml
OttoDIY, 2020-02-27, https://raw.githubusercontent.com/jbon/OttoDIY/patch-1/okh-OttoDIY.yml
Poseidon, 2020-02-28, https://raw.githubusercontent.com/OKH-Forks/poseidon/release/okh-poseidon.yml
Raidlight-Responsiv, 2019-10-07, https://raw.githubusercontent.com/Raidlight/Projet-Pilote-Open-Source/master/okh-Raidlight-Responsiv.yml
Raspberry Pi Camera Calibration Jig, 2019-11-14, https://gitlab.com/bath_open_instrumentation_group/picamera_cra_compensation/-/raw/master/okh-calibration_jig.yml
Spikeling, 2019-10-15, https://raw.githubusercontent.com/BadenLab/Spikeling/master/okh-spikeling.yml
Syringe Pump, 2019-11-16, https://raw.githubusercontent.com/FOSH-following-demand/Syringe_Pump/master/okh-syringe-pump.yml
test,2020-03-13,https://gist.githubusercontent.com/c3po-okh/8b43e153f7dba18269dee0648417c348/raw/4cc936225e179dd1a3d94143abc6449c0242ce87/okh-manifest-test.yml
test,2020-03-13,https://gist.githubusercontent.com/c3po-okh/3b699b621a32fd1985faaa67ee2a1e3b/raw/4cc936225e179dd1a3d94143abc6449c0242ce87/okh-manifest-test.yml
The Test Tube Photometer, 2020-02-27, https://raw.githubusercontent.com/cool-fosh/test_tube_photometer/master/okh-test-tube-photometer.yml
ZACplus, 2019-11-15, https://raw.githubusercontent.com/case06/ZACplus/master/okh-ZACplus.yml
